tripduration,starttime,stoptime,start station id,start station name,end station id,end station name,id,name
5503,32:40.2,04:23.9,74,Harvard Square at Mass Ave/ Dunster,70,Harvard Kennedy School at Bennett St / Eliot St,133,Green Street T Stop - Green St at Amory St
5502,51:27.1,23:09.1,74,Harvard Square at Mass Ave/ Dunster,221,Verizon Innovation Hub 10 Ware Street,335,Harvard St at Greene-Rose Heritage Park
5496,26:42.4,58:19.3,74,Harvard Square at Mass Ave/ Dunster,58,Mugar Way at Beacon St,372,Boylston St at Exeter St
5491,45:52.1,17:23.9,74,Harvard Square at Mass Ave/ Dunster,357,Centre St at Seaverns Ave,359,One Brigham Circle
5489,26:57.1,58:26.4,74,Harvard Square at Mass Ave/ Dunster,58,Mugar Way at Beacon St,21,Prudential Center - 101 Huntington Ave
5463,27:04.5,58:08.1,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,100,Davis Square
5417,27:03.0,57:20.7,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,16,Back Bay T Stop - Dartmouth St at Stuart St
5394,19:24.6,49:19.4,74,Harvard Square at Mass Ave/ Dunster,50,Boylston St at Berkeley St,185,Third at Binney
5374,30:24.8,59:59.7,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,145,Rindge Avenue - O'Neill Library
5327,14:08.9,42:56.3,74,Harvard Square at Mass Ave/ Dunster,351,Faneuil St at Arlington St,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave
5324,39:57.8,08:42.6,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,80,MIT Stata Center at Vassar St / Main St
5265,13:40.2,41:25.5,74,Harvard Square at Mass Ave/ Dunster,33,Kenmore Square,11,Longwood Ave at Binney St
5194,25:35.8,52:10.1,74,Harvard Square at Mass Ave/ Dunster,7,Fan Pier,345,Park Plaza at Charles St S.
5193,29:44.1,56:17.7,74,Harvard Square at Mass Ave/ Dunster,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,109,West End Park
5180,14:07.8,40:28.7,74,Harvard Square at Mass Ave/ Dunster,33,Kenmore Square,66,Commonwealth Ave at Griggs St
5174,17:16.0,43:30.5,74,Harvard Square at Mass Ave/ Dunster,23,Boston City Hall - 28 State St,48,Post Office Square
5128,04:09.0,29:37.3,74,Harvard Square at Mass Ave/ Dunster,190,Nashua Street at Red Auerbach Way,333,699 Mt Auburn St
5122,27:22.5,52:44.6,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,131,Jackson Square T Stop
